code,name,very_good,good,very_poor
A82075,MANSION HOUSE SURGERY,0.608353569,0.312697742,0.021025437
A82077,LIVERPOOL HOUSE SURGERY,0.946474231,0.053525769,0
A82608,SEDBERGH HEALTH CENTRE (LUMB),0.661332699,0.269069128,0
A82613,WRAYSDALE HOUSE SURGERY,0.620745709,0.272753723,0.01202006
A82614,SOLWAY VIEW PRACTICE,0.433873312,0.285061615,0.034014672
A82617,KIRKOSWALD SURGERY,0.875782149,0.111986419,0.012231431
A82619,NELSON STREET SURGERY,0.761563803,0.20393265,0.013237423
A82620,GLENRIDDING HEALTH CENTRE,0.731274394,0.207314536,0.007409738
A82621,ASKAM SURGERY,0.636383545,0.273314781,0.026997298
A82622,SEDBERGH SCHOOL MED CTR,0.418087961,0.522066818,0.059845221
A82623,SOLWAY HEALTH SERVICES,0.421315171,0.335788795,0
A82625,PENNY BRIDGE SURGERY,0.455222835,0.269492118,0.042521986
A82629,THE FAMILY PRACTICE,0.432816113,0.273552188,0.031967372
A82631,COURT THORN SURGERY,0.696749952,0.232901057,0.014094483
A82635,GROSVENOR HOUSE SURGERY (W),0.420807682,0.382297524,0.016836927
A82641,GROSVENOR HOUSE SURGERY (F),0.665014215,0.215043528,-98
A82642,HAWKSHEAD MEDICAL PRACTICE,0.905807201,0.094192799,0
A82646,LONGTOWN MEDICAL CENTRE,0.511348515,0.331943889,0.024727251
A82647,CARTMEL SURGERY,0.796387404,0.163179088,0
A82650,HAVERTHWAITE SURGERY,0.647332588,0.218281388,0.018872203
A82651,DUDDON VALLEY MEDICAL PRACTICE,0.616272058,0.249537441,0.008044728
A82654,GROSVENOR HOUSE SURGERY (A),0.437119949,0.375658731,0.005620491
A83001,DR LONG & PARTNERS,0.452114384,0.355649522,0.04553611
A83003,WILLINGTON MEDICAL GROUP,0.639074427,0.306077024,0.007893119
A83004,DR. K R KAPOOR & PARTNER,0.420461729,0.308846647,0.023621506
A83005,WHINFIELD MEDICAL PRACTICE,0.501927987,0.331978174,0.010941363
A83006,ORCHARD COURT SURGERY,0.831712099,0.113965463,0.025705552
A83007,DR. P. BURRELL & PARTNERS,0.527025587,0.351668208,0
A83008,HALLGARTH SURGERY,0.261968667,0.319225773,0.01588138
A83009,BRIDGE END SURGERY,0.371346676,0.371340784,0.018366082
A83010,MOORLANDS SURGERY,0.272754096,0.376573815,0
A83011,CLAYPATH & UNIVERSITY MEDICAL GROUP,0.409102854,0.360248989,0.026683988
A83012,WILLIAM BROWN CENTRE,0.576254525,0.304206188,0
A83013,NEASHAM ROAD SURGERY,0.521806182,0.309688868,0.011355351
A83014,BELMONT & SHERBURN MEDICAL GROUP,0.352304112,0.401181285,0.020213576
A83015,STATION VIEW MEDICAL CENTRE,0.702623588,0.2515259,0
A83016,TANFIELD VIEW MEDICAL GROUP,0.376461662,0.377926779,0.009218005
A83017,DR MAHTO & PARTNERS,0.184563102,0.433247607,0.014418774
A83018,CONSETT MEDICAL CENTRE,0.294235764,0.419975939,0.006984706
A83019,DR. R.G. ABBOTT AND DR. PATEL,0.535115825,0.289291804,0.059606684
A83020,NORTH HOUSE SURGERY,0.32770165,0.469974252,0.017065797
A83021,AUCKLAND MEDICAL GROUP,0.577747685,0.349399528,0
A83022,THE MEDICAL GROUP,0.398081717,0.402078358,0.00971707
A83023,STANLEY MEDICAL GROUP,0.63030241,0.261557821,0.014910806
A83024,WEST RAINTON SURGERY,0.447227207,0.255143368,0.018529006
A83025,BISHOPGATE MEDICAL CENTRE,0.550311888,0.352908392,0
A83026,SACRISTON MEDICAL CENTRE,0.65251347,0.269545933,0
A83027,COXHOE MEDICAL PRACTICE,0.556489212,0.331366871,0.007947276
A83028,GROUP PRACTICE SURGERY,0.558874794,0.335455715,0.02589921
A83029,THE SURGERY GREAT LUMLEY,0.75987614,0.198357305,0
A83030,DUNELM MEDICAL PRACTICE,0.46346305,0.387080609,0.007844847
A83031,CARMEL MEDICAL PRACTICE,0.617918979,0.269831301,0.012857344
A83032,COCKFIELD SURGERY,0.674202315,0.187899535,0
A83033, THE SURGERY,0.78460538,0.299401637,0.059523985
A83034,BLACKETTS MEDICAL PRACTICE,0.489907035,0.275345292,-98
A83035,THE WEARDALE PRACTICE,0.768655728,0.218502293,0.008158575
A83036,CHASTLETON MEDICAL GROUP,0.67659279,0.226336943,0.008817264
A83037,DR.FERGUSON & PARTNERS,0.464577736,0.390297066,0.020252243
A83038,CEDARS MEDICAL GROUP,0.516591415,0.298072669,0.009809964
A83040,CLIFTON COURT MEDICAL PRACTICE,0.426571162,0.397415503,-98
A83041,DR D S RANGAR & PARTNERS,0.412636578,0.403115339,0.019517713
A83042,DR. C.P. FAIRLAMB & PARTNERS,0.506152262,0.295516663,0.028326725
A83043,OLD FORGE SURGERY,0.638135059,0.276658076,0.017428687
A83044,THE HORDEN GROUP PRACTICE,0.579418972,0.257404026,0.018320695
A83045,DR.OAKENFULL & PARTNERS,0.460294322,0.483899124,0.006546883
A83046,BARNARD CASTLE SURGERY,0.607043369,0.268131033,0.007390374
A83047,DENMARK STREET SURGERY,0.609571064,0.304827103,0.005297884
A83048,ROCKLIFFE COURT SURGERY,0.785392766,0.185468751,0.005178436
A83049,QUEENS ROAD SURGERY,0.656320202,0.273332234,0
A83050,CESTRIA HEALTH CENTRE,0.716481413,0.224466083,0.0062141
A83051,MARLBOROUGH SURGERY,0.537467425,0.330082667,0.012000963
A83052,DR.WOOD & PARTNERS,0.391539293,0.512522875,0.013891655
A83054,DR.JONES & PARTNERS,0.520430673,0.352419569,0.009622241
A83055,CHEVELEY PARK MEDICAL CTR,0.802161529,0.182335724,0
A83057,SHINWELL MEDICAL GROUP,0.560482191,0.254153725,0.005974337
A83060,PINFOLD MEDICAL PRACTICE,0.747359117,0.153291563,0.011939519
A83061,GAINFORD SURGERY,0.807935669,0.121736701,0
A83066,JUBILEE MEDICAL GROUP,0.374431238,0.346672924,0.006575831
A83068,JUPITER HOUSE,0.437750956,0.322095578,0.021542013
A83070,FELIX HOUSE SURGERY,0.687744406,0.25480795,0.027560206
A83071,THE NEW SEAHAM MEDICAL GROUP,0.46002293,0.308490156,0.013408303
A83072,PARK HOUSE SURGERY,0.549049866,0.292685179,0
A83073,DRS LAMBERT & NG,0.698667665,0.210173313,0.008655948
A83074,PEASEWAY MEDICAL CENTRE,0.634513274,0.281396849,0
A83075,DR KV REDDY,0.472309164,0.308094938,0.020244723
A83076,DIPTON SURGERY,0.588200691,0.310372357,0
A83603,DR.ROY,0.645854012,0.238259857,0.03590874
A83610,WINGATE MEDICAL PRACTICE INTRAHEALTH,0.40577338,0.363259852,0.029378108
A83616,DR M D RAMAKRISHNA GUPTA,0.419611415,0.297431497,0.020008435
A83617,BROWNEY HOUSE SURGERY,0.653335449,0.25425394,0
A83618,OAKFIELDS HEALTH CENTRE,0.818525567,0.152399637,0.014157804
A83619,DR. S H S MANSOUR,0.444738273,0.402440553,0.017161223
A83622,THE HAVEN SURGERY,0.555480076,0.332932137,-98
A83626,EVENWOOD SURGERY,0.482467189,0.325473081,0.006071207
A83627,SILVERDALE FAMILY PRACTICE,0.718382299,0.229983713,0.02827626
A83630,DENHOLM HOUSE,0.65570182,0.200316671,0.005881882
A83632,CRAGHEAD MEDICAL CENTRE,0.38672255,0.271267413,0.011345441
A83634,WEST CORNFORTH MEDICAL CENTRE,0.471846877,0.466276962,0
A83635,BOWBURN MEDICAL CENTRE,0.536188099,0.211588787,0.039682749
A83636,LEADGATE SURGERY,0.722817412,0.227196305,0.009637013
A83637,PELTON FELL SURGERY,0.579638032,0.227605792,0.032220647
A83638,DR.BALIGA,0.597544134,0.199093769,0.020029548
A83639,DRS PARTHASARATHY & PARTHASARATHY,0.368303141,0.262088594,0.081456722
A83641,PARKGATE SURGERY,0.456191492,0.274499973,0.006073143
A83644,ANNFIELD PLAIN SURGERY,0.708079312,0.178497455,0.029386004
A84002,THE ROTHBURY PRACTICE,0.643870853,0.258872332,0
A84003,LINTONVILLE MEDICAL GROUP,0.303032356,0.433941423,0.03013377
A84005,BEDLINGTONSHIRE MED.GROUP,0.60177849,0.326853511,0.02075428
A84006,THE BONDGATE SURGERY,0.591501969,0.25124756,0.017165673
A84007,PONTELAND MEDICAL GROUP,0.358114905,0.343485666,0.048813519
A84008,BELFORD MEDICAL PRACTICE,0.800352498,0.182633494,-98
A84009,WATERLOO MEDICAL GROUP,0.504769903,0.288042578,0.038755298
A84011,WHITE MEDICAL GROUP,0.598380128,0.294382823,0.022482608
A84013,THE GABLES MEDICAL GROUP,0.355609259,0.483148887,0.025645966
A84014,MARINE MEDICAL GROUP,0.573175092,0.318121428,0
A84015,LABURNUM SURGERY,0.434290595,0.34493519,0
A84016,PRUDHOE MEDICAL GROUP,0.653055105,0.285319794,0.015988158
A84018,CORBRIDGE HEALTH CENTRE,0.817033099,0.151326128,0.026394416
A84020,GUIDEPOST MEDICAL GROUP,0.3902726,0.287559435,0.011398107
A84021,THE CONSULTING ROOMS,0.503718664,0.358617006,0.045156064
A84022,COQUET MEDICAL GROUP,0.678308887,0.315118609,0
A84024,BURN BRAE MEDICAL GROUP,0.741128612,0.215164233,-98
A84025,CRAMLINGTON MEDICAL GROUP,0.382052217,0.395373711,0
A84026,WELL CLOSE SQUARE SURGERY,0.3792299,0.334356312,0.057295115
A84027,BELLINGHAM PRACTICE,0.786255741,0.191058002,0
A84028,SEATON PARK MEDICAL GROUP,0.353006346,0.355595471,0.055077753
A84029,WIDDRINGTON SURGERY,0.469515225,0.245072626,0.007262866
A84030,VILLAGE MEDICAL GROUP,0.561932418,0.265500744,0.041119765
A84031,GREYSTOKE SURGERY,0.651296052,0.287663219,0.013615291
A84032,CHEVIOT MEDICAL GROUP,0.603546388,0.298992152,0.005499783
A84033,THE SELE MEDICAL PRACTICE,0.638490088,0.298403797,0.006993293
A84034,HALTWHISTLE MEDICAL GROUP,0.640354118,0.283792388,0.013332116
A84035,RIVERSDALE SURGERY,0.574931436,0.298380416,0.025151351
A84036,WELLWAY MEDICAL GROUP,0.524143078,0.347463942,0.029237088
A84037,NETHERFIELD HOUSE,0.596011042,0.264097593,0
A84038,FORUM FAMILY PRACTICE,0.754245243,0.176861939,0.006247858
A84039,GAS HOUSE LANE SURGERY,0.735557842,0.245719506,0.00585517
A84040,HUMSHAUGH & WARK MED GRP,0.78086995,0.147690983,0.024019169
A84042,SCOTS GAP MEDICAL GROUP,0.867537343,0.132462657,0
A84043,BROCKWELL MEDICAL GROUP,0.521569017,0.288611532,0
A84044,UNION BRAE & NORHAM PRAC,0.661352362,0.278387049,0
A84045,HAYDON & ALLEN VALLEYS MEDICAL PRACTICE,0.711732369,0.217952738,0.005070797
A84047,BRANCH END SURGERY,0.560572258,0.300595195,0.006739004
A84048,STATION MEDICAL GROUP,0.485266449,0.271941084,0.033699168
A84604,THE GLENDALE SURGERY,0.782942641,0.152836493,0.006087653
A84609,MIDDLE FARM SURGERY,0.683067708,0.271924585,0
A84613,HARBOTTLE SURGERY,0.632759221,0.274057541,0.01437725
A84614,THE ADDERLANE SURGERY,0.751755348,0.168592677,0.007449946
A84618,ALLENDALE HEALTH CENTRE,0.8037625,0.131319016,0.006618817
A84619,ELSDON AVENUE SURGERY,0.575056354,0.226575486,0.006157268
A85001,FELL TOWER MEDICAL CENTRE,0.477011581,0.364858667,0.036254682
A85002,BENSHAM FAMILY PRACTICE,0.448325611,0.284895426,0.03233511
A85003,ROWLANDS GILL MEDICAL CENTRE,0.25154169,0.318229681,0.010430503
A85004,LONGRIGG MEDICAL CENTRE,0.458775273,0.345716531,0.009292973
A85005,OXFORD TERRACE MEDICAL GROUP,0.680789075,0.231040016,0.00888845
A85006,GLENPARK MEDICAL CENTRE,0.418688251,0.409889459,0.014659336
A85007,FELL COTTAGE SURGERY,0.590946874,0.332073174,0
A85008,BIRTLEY MEDICAL GROUP,0.38806372,0.507802469,0
A85009,CROWHALL MEDICAL CENTRE,0.615652052,0.228260363,0.005036327
A85010,CHAINBRIDGE MEDICAL PARTNERSHIP,0.602596049,0.246188614,0.007461071
A85011,ST. ALBANS MEDICAL GROUP,0.356774895,0.436220006,0
A85012,METRO INTERCHANGE SURGERY,0.562236414,0.274952462,0.007469841
A85013,MILLENNIUM FAMILY PRACTICE,0.536997168,0.296094217,0
A85014,CRAWCROOK SURGERY,0.43860015,0.401547966,0.011513958
A85015,HIGH STREET MEDICAL CENTRE,0.524484334,0.306359063,0.009556637
A85016,DR KAURA & PARTNERS,0.603994041,0.298019486,-98
A85017,BEWICK ROAD SURGERY,0.597066208,0.351009607,0
A85018,OLDWELL SURGERY,0.461723006,0.373247526,0.030779055
A85019,CENTRAL GATESHEAD MEDICAL GROUP,0.471823053,0.384113195,0.026552699
A85020,WHICKHAM COTTAGE MEDICAL CENTRE,0.52448139,0.370359763,-98
A85021,SECOND STREET SURGERY,0.482791129,0.208268283,0.032795614
A85023,TEAMS MEDICAL PRACTICE,0.785665535,0.183562366,0.008136214
A85024,CHOPWELL PRIMARY HEALTHCARE CENTRE,0.270860212,0.310274499,0.010438758
A85025,1 RAWLING ROAD(THE MEDICAL CENTRE),0.520656572,0.277533147,0.019217427
A85026,BEACON VIEW MEDICAL CENTRE,0.645144618,0.255530467,0.017850898
A85601,BIRTLEY LANE SURGERY,0.560816584,0.21457223,0.033443815
A85605,ELVASTON ROAD SURGERY,0.644452476,0.247055115,0.006071794
A85609,108 RAWLING ROAD(RAWLING ROAD PRACTICE),0.649599217,0.181265389,0.024610175
A85611,PELAW MEDICAL PRACTICE,0.424232728,0.374676205,0.024760446
A85614,THE BRIDGES MEDICAL CENTRE,0.311468886,0.301646107,0.07573132
A85616,HOLLYHURST,0.485231575,0.36555358,0
A85617,SUNNISIDE SURGERY,0.819934997,0.147055681,0
A85620,GRANGE ROAD MEDICAL PRACTICE,0.749111894,0.188746779,0.013529533
A86003,SAVILLE MEDICAL GROUP,0.42746617,0.259905741,0.011140023
A86004,PROSPECT MEDICAL CENTRE,0.496712439,0.272400727,0.036727493
A86005,WEST FARM SURGERY,0.631309157,0.275418613,0.015467249
A86006,ROSEWORTH SURGERY,0.758475412,0.19404608,0
A86007,AVENUE MEDICAL PRACTICE,0.590177715,0.315624191,0.016425477
A86008,PARK MEDICAL GROUP,0.542800516,0.261079044,0.00887431
A86009,FALCON MEDICAL GROUP,0.553132677,0.255305257,0.022315767
A86010,BIDDLESTONE HEALTH GROUP,0.483912149,0.339408447,0.009186978
A86011,WALKER MEDICAL GROUP,0.632139695,0.222324254,-98
A86012,WEST ROAD MEDICAL CENTRE,0.54472595,0.318439073,0
A86013,DENTON PARK MEDICAL GROUP,0.560173605,0.276375473,0.03204508
A86015,HOLLY MEDICAL GROUP,0.699356801,0.209796984,0
A86016,LANE END SURGERY,0.636281041,0.234410788,0.015745281
A86017,CRUDDAS PARK SURGERY,0.489296599,0.259007561,-98
A86018,THE GROVE MEDICAL GROUP,0.71324628,0.205668835,0.039739849
A86020,THE SURGERY-OSBORNE ROAD,0.71416444,0.20749601,0.021287456
A86021,HOLMSIDE MEDICAL GROUP,0.396372901,0.480442921,0
A86022,PARKWAY MEDICAL GROUP,0.687422436,0.212637463,0.01769664
A86023,BENFIELD PARK MEDICAL GROUP,0.550381542,0.317125769,0.017226386
A86024,HEATON ROAD SURGERY,0.646773512,0.319849022,0
A86025,WESTERHOPE MEDICAL GROUP,0.423297824,0.37071032,0.024062814
A86026,THROCKLEY PRIMARY CARE CENTRE,0.685094053,0.212037607,0.007450577
A86027,NEWCASTLE MEDICAL CENTRE,0.300777126,0.325162894,0
A86028,REGENT MEDICAL CENTRE,0.499760265,0.305911089,0
A86029,THORNFIELD MEDICAL GROUP,0.452364284,0.349345498,0.023396983
A86030,BETTS AVENUE MEDICAL GROUP,0.510275264,0.346426184,0
A86031,FENHAM HALL SURGERY,0.537682279,0.297328468,0.020588603
A86033,BRUNTON PARK,0.671128733,0.260083931,0.006771663
A86035,BROADWAY MEDICAL CENTRE,0.526152599,0.328254173,0.005092416
A86036,GOSFORTH MEMORIAL MED.CTR,0.663134539,0.278167529,0
A86037,GRAINGER MEDICAL GROUP,0.30799215,0.288780968,-98
A86038,NEWBURN SURGERY,0.65177652,0.224816935,0
A86040,ST.ANTHONY'S HEALTH CENTRE,0.590596502,0.33628563,0.00507558
A86041,SWARLAND AVENUE SURGERY,0.470869188,0.3634364,0.023765415
A86601,DENTON TURRET MEDICAL CENTRE,0.429135943,0.436775438,0.013993483
A87002,SPRING TERRACE HEALTH CENTRE,0.407714888,0.400914085,0.031776013
A87003,PORTUGAL PLACE HEALTH CTR,0.559591758,0.316975777,0.00535449
A87004,COLLINGWOOD SURGERY,0.616694198,0.231902754,0.013490151
A87005,WHITLEY BAY HEALTH CENTRE,0.694713389,0.272327985,-98
A87006,49 MARINE AVENUE SURGERY,0.550245857,0.333775028,0.00943176
A87007,FOREST HALL HEALTH CENTRE,0.668032625,0.260537771,0.006479647
A87008,MARINE AVENUE MEDICAL CTR,0.545891131,0.296467642,0.025563983
A87009,PRIORY MEDICAL GROUP,0.356335154,0.346656272,0.00924908
A87011,BEAUMONT PARK SURGERY,0.593190842,0.308894855,0
